"state","state_id","year","cigsale","retprice"
"Alabama",1,1970,89.8000030517578,39.5999984741211
"Alabama",1,1971,95.4000015258789,42.7000007629395
"Alabama",1,1972,101.099998474121,42.2999992370605
"Alabama",1,1973,102.900001525879,42.0999984741211
"Alabama",1,1974,108.199996948242,43.0999984741211
"Alabama",1,1975,111.699996948242,46.5999984741211
"Alabama",1,1976,116.199996948242,50.4000015258789
"Alabama",1,1977,117.099998474121,50.0999984741211
"Alabama",1,1978,123,55.0999984741211
"Alabama",1,1979,121.400001525879,56.7999992370605
"Alabama",1,1980,123.199996948242,60.5999984741211
"Alabama",1,1981,119.599998474121,68.8000030517578
"Alabama",1,1982,119.099998474121,73.0999984741211
"Alabama",1,1983,116.300003051758,84.4000015258789
"Alabama",1,1984,113,90.8000030517578
"Alabama",1,1985,114.5,99
"Alabama",1,1986,116.300003051758,103
"Alabama",1,1987,114,110
"Alabama",1,1988,112.099998474121,114.400001525879
"Alabama",1,1989,105.599998474121,122.300003051758
"Alabama",1,1990,108.599998474121,139.100006103516
"Alabama",1,1991,107.900001525879,144.399993896484
"Alabama",1,1992,109.099998474121,172.199996948242
"Alabama",1,1993,108.5,176.199996948242
"Alabama",1,1994,107.099998474121,154.600006103516
"Alabama",1,1995,102.599998474121,155.100006103516
"Alabama",1,1996,101.400001525879,158.300003051758
"Alabama",1,1997,104.900001525879,167.399993896484
"Alabama",1,1998,106.199996948242,180.5
"Alabama",1,1999,100.699996948242,195.600006103516
"Alabama",1,2000,96.1999969482422,270.700012207031
"Arkansas",2,1970,100.300003051758,36.7000007629395
"Arkansas",2,1971,104.099998474121,38.7999992370605
"Arkansas",2,1972,103.900001525879,44.0999984741211
"Arkansas",2,1973,108,45.0999984741211
"Arkansas",2,1974,109.699996948242,45.5
"Arkansas",2,1975,114.800003051758,48.5999984741211
"Arkansas",2,1976,119.099998474121,50.9000015258789
"Arkansas",2,1977,122.599998474121,52.5999984741211
"Arkansas",2,1978,127.300003051758,56.5
"Arkansas",2,1979,126.5,58.4000015258789
"Arkansas",2,1980,131.800003051758,61.5
"Arkansas",2,1981,128.699996948242,64.6999969482422
"Arkansas",2,1982,127.400001525879,72.0999984741211
"Arkansas",2,1983,128,82
"Arkansas",2,1984,123.099998474121,93.5999984741211
"Arkansas",2,1985,125.800003051758,98.5
"Arkansas",2,1986,126,103.599998474121
"Arkansas",2,1987,122.300003051758,113
"Arkansas",2,1988,121.5,119.900001525879
"Arkansas",2,1989,118.300003051758,127.699996948242
"Arkansas",2,1990,113.099998474121,141.199996948242
"Arkansas",2,1991,116.800003051758,146.5
"Arkansas",2,1992,126,177.300003051758
"Arkansas",2,1993,113.800003051758,179.899993896484
"Arkansas",2,1994,108.800003051758,168.100006103516
"Arkansas",2,1995,113,167.300003051758
"Arkansas",2,1996,110.699996948242,167.100006103516
"Arkansas",2,1997,108.699996948242,181.300003051758
"Arkansas",2,1998,109.5,187.300003051758
"Arkansas",2,1999,104.800003051758,206.899993896484
"Arkansas",2,2000,99.4000015258789,279.299987792969
"California",3,1970,123,38.7999992370605
"California",3,1971,121,39.7000007629395
"California",3,1972,123.5,39.9000015258789
"California",3,1973,124.400001525879,39.9000015258789
"California",3,1974,126.699996948242,41.9000015258789
"California",3,1975,127.099998474121,45
"California",3,1976,128,48.2999992370605
"California",3,1977,126.400001525879,49
"California",3,1978,126.099998474121,58.7000007629395
