district,town,time,Y_N,Y_I,Y_obs,treated,tourism_spending,population,Region
Bandabou,Barber,1,23.33642695631637,25.766042144358043,23.33642695631637,False,249.81604753894499,2412,0
Bandabou,Barber,2,23.63341765499635,25.22265617794266,23.63341765499635,False,480.2857225639665,2412,0
Bandabou,Barber,3,23.59228534304147,25.64549333690893,23.59228534304147,False,392.797576724562,2412,0
Bandabou,Barber,4,24.157229789428346,25.877075504124033,24.157229789428346,False,339.46339367881467,2412,0
Bandabou,Barber,5,23.549320035219242,26.02751955034272,23.549320035219242,False,162.40745617697462,2412,0
Bandabou,Barber,6,23.241234416226533,24.6317291285832,23.241234416226533,False,162.39780813448107,2412,0
Bandabou,Barber,7,22.50550767901102,24.28185435043952,22.50550767901102,False,123.23344486727979,2412,0
Bandabou,Barber,8,23.003835419589446,25.15477725850075,23.003835419589446,False,446.47045830997405,2412,0
Bandabou,Barber,9,23.363724116676835,25.990170661584916,23.363724116676835,False,340.4460046972835,2412,0
Bandabou,Barber,10,23.204917672586788,25.178607617227165,23.204917672586788,False,383.2290311184182,2412,0
Bandabou,Barber,11,22.1849752738553,23.962811436867337,22.1849752738553,False,108.23379771832097,2412,0
Bandabou,Barber,12,22.4542621659292,25.207009696196632,22.4542621659292,False,487.96394086479773,2412,0
Bandabou,Barber,13,22.52033514383927,23.940910434952322,22.52033514383927,False,432.9770563201687,2412,0
Bandabou,Barber,14,21.714607224808976,22.83475206530585,21.714607224808976,False,184.93564427131048,2412,0
Bandabou,Barber,15,21.157255597551874,23.3333279712735,21.157255597551874,False,172.72998688284025,2412,0
Bandabou,Barber,16,20.3897864082654,22.188888735454835,20.3897864082654,False,173.36180394137352,2412,0
Bandabou,Barber,17,20.551777715123897,22.143130030456184,20.551777715123897,False,221.69689718381508,2412,0
Bandabou,Barber,18,20.1819040777738,22.4653538624386,20.1819040777738,False,309.9025726528952,2412,0
Bandabou,Barber,19,19.96357850193829,22.061135685306972,19.96357850193829,False,272.7780074568463,2412,0
Bandabou,Barber,20,19.448931371910753,21.22321454950316,19.448931371910753,False,216.49165607921677,2412,0
Bandabou,Barber,21,20.258599865306795,21.746284339003275,20.258599865306795,False,344.74115788895176,2412,0
Bandabou,Barber,22,19.86257108987326,22.211686062671305,19.86257108987326,False,155.79754426081672,2412,0
Bandabou,Barber,23,20.12943655291597,22.389615428373137,20.12943655291597,False,216.85785941408727,2412,0
Bandabou,Barber,24,19.5437003525585,21.50401499734025,19.5437003525585,False,246.5447373174767,2412,0
Bandabou,Barber,25,19.852211550733756,22.591145827225997,19.852211550733756,False,282.4279936868144,2412,0
Bandabou,Barber,26,20.899636477353912,22.4714406195416,20.899636477353912,False,414.07038455720544,2412,0
Bandabou,Barber,27,20.624154314535065,22.01371336655198,20.624154314535065,False,179.8695128633439,2412,0
Bandabou,Barber,28,21.226981812106377,22.950113867777787,21.226981812106377,False,305.69377536544465,2412,0
