district,town,time,Y_N,Y_I,Y_obs,treated,tourism_spending,population,Region
Bandabou,Barber,1,16.047753506348176,18.233168541538873,16.047753506348176,False,249.81604753894499,2412,0
Bandabou,Barber,2,16.82495565961218,18.804528074489912,16.82495565961218,False,480.2857225639665,2412,0
Bandabou,Barber,3,17.043990940421253,19.06389177172043,17.043990940421253,False,392.797576724562,2412,0
Bandabou,Barber,4,17.573846162790158,19.068145667058772,17.573846162790158,False,339.46339367881467,2412,0
Bandabou,Barber,5,17.30430330763578,19.536205620019352,17.30430330763578,False,162.40745617697462,2412,0
Bandabou,Barber,6,16.82809886824346,18.9157874549721,16.82809886824346,False,162.39780813448107,2412,0
Bandabou,Barber,7,16.71608187081872,18.968656204922272,16.71608187081872,False,123.23344486727979,2412,0
Bandabou,Barber,8,17.17281764488174,18.439839325008833,17.17281764488174,False,446.47045830997405,2412,0
Bandabou,Barber,9,17.14302098956556,19.67154253980604,17.14302098956556,False,340.4460046972835,2412,0
Bandabou,Barber,10,17.581234215243327,19.54590716090716,17.581234215243327,False,383.2290311184182,2412,0
Bandabou,Barber,11,17.168528016302684,19.448984631157856,17.168528016302684,False,108.23379771832097,2412,0
Bandabou,Barber,12,18.386364170652882,20.12318692978204,18.386364170652882,False,487.96394086479773,2412,0
Bandabou,Barber,13,19.233535737109033,21.388615289408335,19.233535737109033,False,432.9770563201687,2412,0
Bandabou,Barber,14,19.241098004955273,20.97450177333962,19.241098004955273,False,184.93564427131048,2412,0
Bandabou,Barber,15,18.80103262256433,20.643170464329916,18.80103262256433,False,172.72998688284025,2412,0
Bandabou,Barber,16,19.10471101541097,21.589110111051603,19.10471101541097,False,173.36180394137352,2412,0
Bandabou,Barber,17,19.249555290872664,21.201297783336152,19.249555290872664,False,221.69689718381508,2412,0
Bandabou,Barber,18,20.109321317173368,22.164348778932563,20.109321317173368,False,309.9025726528952,2412,0
Bandabou,Barber,19,20.64548763398552,22.86568257543216,20.64548763398552,False,272.7780074568463,2412,0
Bandabou,Barber,20,21.011217446999673,23.13666359383227,21.011217446999673,False,216.49165607921677,2412,0
Bandabou,Barber,21,21.88484834620316,23.922916051557937,21.88484834620316,False,344.74115788895176,2412,0
Bandabou,Barber,22,21.915401124778256,24.007764700318223,21.915401124778256,False,155.79754426081672,2412,0
Bandabou,Barber,23,22.17629893471758,24.784550379285633,22.17629893471758,False,216.85785941408727,2412,0
Bandabou,Barber,24,22.663493787810832,24.648911741848742,22.663493787810832,False,246.5447373174767,2412,0
Bandabou,Barber,25,22.947372410925606,24.998266141671515,22.947372410925606,False,282.4279936868144,2412,0
Bandabou,Barber,26,23.84767983900295,26.113577280144014,23.84767983900295,False,414.07038455720544,2412,0
Bandabou,Barber,27,23.59024241856142,25.87002663476574,23.59024241856142,False,179.8695128633439,2412,0
Bandabou,Barber,28,24.22093381179977,26.521344986021052,24.22093381179977,False,305.69377536544465,2412,0
Bandabou,Barber,29,24.384293429871505,26.545941953175063,24.384293429871505,False,336.965827544817,2412,0
Bandabou,Barber,30,24.260455186380412,25.971185867504886,24.260455186380412,False,118.58016508799909,2412,0
Bandabou,Barber,31,24.47911123554717,26.89249670879925,24.47911123554717,False,343.01794076057536,2412,0
Bandabou,Barber,32,23.58141326363444,25.291298542917744,23.58141326363444,False,168.2096494749166,2412,0
Bandabou,Barber,33,22.910067950536824,24.986658308042937,22.910067950536824,False,126.0206371941118,2412,0
Bandabou,Barber,34,23.427440266098902,25.23654969428313,23.427440266098902,False,479.5542149013333,2412,0
Bandabou,Barber,35,24.343962166641305,26.327730166563164,24.343962166641305,False,486.25281322982374,2412,0
Bandabou,Barber,36,24.62222849282441,26.705431003540816,24.62222849282441,False,423.35893924658444,2412,0
Bandabou,Barber,37,24.18537667821309,26.26670509753455,24.18537667821309,False,221.84550766934828,2412,0
Bandabou,Barber,38,23.082555456089604,25.189334287779428,23.082555456089604,False,139.06884560255355,2412,0
Bandabou,Barber,39,23.286153597015623,25.69454830683996,23.286153597015623,False,373.69321060486277,2412,0
Bandabou,Barber,40,22.56203714639742,24.676816669236242,22.56203714639742,False,276.0609974958405,2412,0
Bandabou,Barber,41,21.555617497096723,23.4938268409037,21.555617497096723,False,148.81529393791152,2412,0
Bandabou,Barber,42,21.76068899366982,24.00467817989405,21.76068899366982,False,298.0707640445081,2412,0
Bandabou,Barber,43,21.255031704624592,23.5560604354039,21.255031704624592,False,113.75540844608736,2412,0
Bandabou,Barber,44,22.077589618775967,23.766909172370323,22.077589618775967,False,463.7281608315128,2412,0
Bandabou,Barber,45,21.534428026091273,23.685616799977506,21.534428026091273,False,203.51199264000678,2412,0
Bandabou,Barber,46,21.883172740103443,24.0606240872703,21.883172740103443,False,365.0089137415928,2412,0
Bandabou,Barber,47,21.66326245065832,23.58795569477261,21.66326245065832,False,224.6844304357644,2412,0
Bandabou,Barber,48,21.438903669809914,23.78706470431363,21.438903669809914,False,308.0272084711243,2412,0
