unitid,time,sales,candidate,post
0,0,42.66300603036322,False,0
0,1,48.971798254853084,False,0
0,2,51.51485829893726,False,0
0,3,46.82557369997964,False,0
0,4,55.5495616912094,False,0
0,5,61.64906746465335,False,0
0,6,64.59388836287577,False,0
0,7,67.89734244006836,False,0
0,8,73.75375056939895,False,0
0,9,62.23485963991741,False,0
0,10,77.57684234059802,False,0
0,11,72.52510539370245,False,0
0,12,77.76537677335077,False,0
0,13,73.88733100675402,False,0
0,14,77.61257987294628,False,0
0,15,76.95292421349563,False,0
0,16,76.84575508978526,False,0
0,17,83.26632497483797,False,0
0,18,87.02483417711325,False,0
0,19,90.68486225276692,False,0
0,20,83.26447753590358,False,0
0,21,87.53954874662865,False,0
0,22,91.93295760930324,False,0
0,23,94.61750352858203,False,0
0,24,94.80923815600856,False,0
0,25,82.0716068167798,False,0
0,26,99.79646963139176,False,0
0,27,99.46323552276088,False,0
0,28,100.30358931410754,False,0
0,29,102.04241588027195,False,0
0,30,100.07842853010834,False,0
0,31,98.7544924780617,False,0
0,32,103.60211445988952,False,0
0,33,106.07676959603292,False,0
0,34,103.00098070633878,False,0
0,35,108.05651082611166,False,0
0,36,108.17095311761007,False,0
0,37,114.94516104345156,False,0
0,38,113.802411298311,False,0
0,39,115.17812293230405,False,0
0,40,123.48585559890638,False,0
0,41,117.67572943003829,False,0
0,42,122.83724196809409,False,0
0,43,134.33464652979694,False,0
0,44,114.83213318735802,False,0
0,45,126.20458709689713,False,0
0,46,131.88961628956346,False,0
0,47,130.3695498629113,False,0
0,48,136.74279789865304,False,0
0,49,145.03905512748722,False,0
0,50,135.7416889517319,False,0
0,51,136.59103639048257,False,0
0,52,151.9016731291828,False,0
0,53,158.3901023144063,False,0
0,54,150.23533823358238,False,0
0,55,157.57855658203448,False,0
0,56,155.89940028425863,False,0
0,57,168.67018083450114,False,0
0,58,157.98003380455393,False,0
0,59,172.35507162498612,False,0
0,60,170.71190512974783,False,0
0,61,168.8759921314498,False,0
0,62,174.67798055564657,False,0
0,63,171.85708037551365,False,0
0,64,175.93147124528792,False,0
0,65,181.53689833499286,False,0
0,66,186.2027282384677,False,0
0,67,185.2589543779714,False,0
0,68,189.76880256304054,False,0
0,69,187.85002626113064,False,0
0,70,191.5961203064811,False,0
0,71,180.22850172351212,False,0
0,72,186.00072933270522,False,0
0,73,190.50605133652962,False,0
0,74,200.59465853130052,False,0
0,75,193.73898933176997,False,0
0,76,199.21825382049767,False,0
0,77,190.19970354541957,False,0
0,78,193.77403674707807,False,0
0,79,202.21466625581982,False,0
0,80,194.56132049272983,False,1
0,81,194.77653336607568,False,1
0,82,200.82938003828218,False,1
0,83,196.9763600545584,False,1
0,84,206.33111144607187,False,1
0,85,201.3600619788095,False,1
0,86,201.99026563620535,False,1
0,87,210.6867002025833,False,1
0,88,217.3430592346668,False,1
0,89,203.00333085813492,False,1
0,90,224.4166156871334,False,1
0,91,217.03635101116066,False,1
0,92,221.7976451404942,False,1
0,93,221.04752427055183,False,1
0,94,216.8288608384724,False,1
0,95,222.39809405408573,False,1
0,96,233.63013956570938,False,1
0,97,225.2920795739642,False,1
0,98,228.19146132725692,False,1
0,99,234.08911478044587,False,1
1,0,45.81005567874126,True,0
1,1,52.15198346314878,True,0
1,2,54.45892592885848,True,0
1,3,49.24350721605505,True,0
1,4,57.62915345804533,True,0
1,5,61.24422496583716,True,0
1,6,71.36668432078065,True,0
1,7,77.0169147907659,True,0
1,8,78.24430669594287,True,0
1,9,70.16545750210845,True,0
1,10,81.95474074654246,True,0
1,11,80.27283252014797,True,0
1,12,85.43355103285025,True,0
1,13,88.41697701086107,True,0
1,14,79.69364410539605,True,0
1,15,86.56378917201236,True,0
1,16,78.48425245924706,True,0
1,17,78.25799849646714,True,0
1,18,103.41702410524441,True,0
1,19,95.24661260896848,True,0
1,20,89.08142753643838,True,0
1,21,96.46323342192552,True,0
1,22,105.1072173060686,True,0
1,23,92.36715910651931,True,0
1,24,103.37216738638672,True,0
1,25,102.88929687979152,True,0
1,26,109.72584296447448,True,0
1,27,108.38987279665369,True,0
1,28,103.82088891516973,True,0
