dma_name,dma_code,state,latitude,longitude
"Lexington, KY",541,KY,37.584915,-83.9929735
"Lima, OH",558,OH,40.782607,-84.138823
"Lincoln & Hastings-Kearney, NE",722,NE,41.282784,-99.257628
"Little Rock-Pine Bluff, AR",693,AR,34.647081,-92.670434
"Los Angeles, CA",803,CA,35.132844,-116.858513
"Louisville, KY",529,KY,38.1524665,-85.7750445
"Lubbock, TX",651,TX,33.4181475,-101.791018
"Macon, GA",503,GA,32.6218675,-83.3190475
"Madison, WI",669,WI,43.370746,-89.9627745
"Mankato, MN",737,MN,43.876563,-94.4376415
"Marquette, MI",553,MI,46.8707415,-87.8765355
"Medford-Klamath Falls, OR",813,OR,42.3097025,-121.9634415
"Memphis, TN",640,TN,35.1946395,-89.757956
"Meridian, MS",711,MS,32.3468715,-88.5817905
"Miami-Fort Lauderdale, FL",528,FL,25.439022,-80.940626
"Milwaukee, WI",617,WI,43.1921015,-88.358241
"Minneapolis-St. Paul, MN",613,MN,46.0197555,-94.199023
"Minot-Bismarck-Dickinson(Williston), ND",687,ND,46.8731805,-102.71806
"Missoula, MT",762,MT,47.229117,-114.464452
"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,FL,31.1061175,-87.6151775
"Monroe, LA-El Dorado, AR",628,AR,32.1842885,-91.9321725
"Monterey-Salinas, CA",828,CA,36.537526,-121.265832
"Montgomery-Selma, AL",698,AL,32.0506805,-86.7675715
"Myrtle Beach-Florence, SC",570,SC,34.2987775,-79.419767
"Nashville, TN",659,TN,36.07259,-86.631128
"New Orleans, LA",622,LA,29.9723295,-90.0824885
"New York, NY",501,NY,40.839717,-73.6072985
"Norfolk-Portsmouth-Newport News, VA",544,VA,36.608336,-76.3720915
"North Platte, NE",740,NE,41.394995,-100.836179
"Odessa-Midland, TX",633,TX,30.781491,-103.077288
"Oklahoma City, OK",650,OK,35.667342,-97.9919705
"Omaha, NE",652,NE,41.1056295,-96.150686
"Orlando-Daytona Beach-Melbourne, FL",534,FL,28.6562235,-81.4963015
"Ottumwa, IA-Kirksville, MO",631,MO,40.384083,-92.545142
"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL",632,IL,37.2352865,-89.497325
"Palm Springs, CA",804,CA,33.72988,-116.2354255
"Panama City, FL",656,FL,30.293713,-85.3696325
"Parkersburg, WV",597,WV,39.336078,-81.4306435
"Peoria-Bloomington, IL",675,IL,40.6826125,-89.343186
"Philadelphia, PA",504,PA,39.8995855,-75.3874975
"Phoenix, AZ",753,AZ,34.7133875,-111.899851
"Pittsburgh, PA",508,PA,40.409733,-79.6590145
"Portland, OR",820,OR,44.191309,-120.4498885
"Portland-Auburn, ME",500,ME,44.366668,-70.1830055
"Presque Isle, ME",552,ME,46.519615,-68.9025615
"Providence, RI-New Bedford, MA",521,MA,41.620932,-71.351281
"Quincy, IL-Hannibal, MO-Keokuk, IA",717,IA,40.066065,-91.1726125
"Raleigh-Durham (Fayetteville), NC",560,NC,35.72255,-78.4212995
"Rapid City, SD",764,SD,43.7649485,-104.4792695
"Reno, NV",811,NV,39.4852355,-118.959289
"Richmond-Petersburg, VA",556,VA,37.4686305,-77.5349825
"Roanoke-Lynchburg, VA",573,VA,37.6408795,-79.9113685
"Rochester, NY",538,NY,42.9137715,-77.387152
"Rochester, MN-Mason City, IA-Austin, MN",611,MN,43.552183,-92.850969
"Rockford, IL",610,IL,42.0453555,-89.316059
"Sacramento-Stockton-Modesto, CA",862,CA,38.7885185,-120.9905465
"Salisbury, MD",576,MD,38.4437985,-75.548586
"Salt Lake City, UT",770,UT,40.23193,-112.26407
"San Angelo, TX",661,TX,31.186904,-100.740601
"San Antonio, TX",641,TX,29.2651455,-99.1607395
"San Diego, CA",825,CA,33.0195915,-116.8402815
"San Francisco-Oakland-San Jose, CA",807,CA,38.4477155,-122.6193155
"Santa Barbara-Santa Maria-San Luis Obispo, CA",855,CA,34.844663,-120.4100205
"Savannah, GA",507,GA,32.168191,-81.6330685
"Seattle-Tacoma, WA",819,WA,47.621239,-121.842349
"Sherman, TX-Ada, OK",657,OK,34.181478,-96.2499835
"Shreveport, LA",612,LA,32.820852,-94.0138375
"Sioux City, IA",624,IA,42.621459,-96.376337
"Sioux Falls (Mitchell), SD",725,SD,44.0133785,-98.735199
"South Bend-Elkhart, IN",588,IN,41.576527,-86.062314
"Spokane, WA",881,WA,47.0398515,-117.603633
"Springfield, MO",619,MO,37.1293385,-92.5469955
"Springfield-Holyoke, MA",543,MA,42.3856895,-72.6017095
"St. Joseph, MO",638,MO,40.055305,-94.8792055
"St. Louis, MO",609,MO,38.434253,-90.169254
"Syracuse, NY",555,NY,42.9849975,-76.1014455
"Tallahassee, FL-Thomasville, GA",530,GA,30.462299,-83.675708
"Tampa-St. Petersburg (Sarasota), FL",539,FL,27.9989465,-81.8973955
"Terre Haute, IN",581,IN,39.2814045,-87.6904085
"Toledo, OH",547,OH,41.384993,-83.7585085
"Topeka, KS",605,KS,39.0201515,-96.5557205
"Traverse City-Cadillac, MI",540,MI,45.119199,-84.9520115
"Tri-Cities, TN-VA",531,VA,36.732483,-82.468517
"Tucson (Sierra Vista), AZ",789,AZ,31.923023,-111.1907555
"Tulsa, OK",671,OK,35.9900205,-95.7685615
"Twin Falls, ID",760,ID,42.994495,-114.043651
"Tyler-Longview(Lufkin & Nacogdoches), TX",709,TX,32.1070105,-94.8806935
"Utica, NY",526,NY,43.205527,-75.026249
"Victoria, TX",626,TX,28.805652,-96.973793
"Waco-Temple-Bryan, TX",625,TX,31.0795205,-97.3521605
"Washington, DC (Hagerstown, MD)",511,MD,39.127683,-77.904362
"Watertown, NY",549,NY,44.217164,-75.4894475
"Wausau-Rhinelander, WI",705,WI,44.9711405,-89.6752625
"West Palm Beach-Ft. Pierce, FL",548,FL,27.096694,-80.6271745
"Wheeling, WV-Steubenville, OH",554,OH,39.96655,-81.0435735
"Wichita Falls, TX-Lawton, OK",627,OK,33.9059285,-99.039775
"Wichita-Hutchinson, KS Plus",678,KS,38.672948,-99.005353
"Wilkes Barre-Scranton, PA",577,PA,41.2488125,-76.530153
"Wilmington, NC",550,NC,34.3480385,-78.294559
"Yakima-Pasco-Richland-Kennewick, WA",810,WA,46.29578,-119.748852
"Youngstown, OH",536,OH,41.0505515,-80.543523
"Yuma, AZ-El Centro, CA",771,CA,32.751631,-114.7199745
"Zanesville, OH",596,OH,39.961236,-81.9657085
